sma_window,atr_window,atr_multiplier,cagr,max_dd,trades,win_rate
40,3,0.15,0.117,-0.317,78,0.513
35,20,0.45,0.117,-0.329,56,0.571
40,5,0.15,0.117,-0.296,82,0.512
50,20,0.45,0.117,-0.388,37,0.541
75,14,0.2,0.116,-0.457,44,0.614
75,14,0.3,0.116,-0.437,36,0.639
30,5,0.4,0.116,-0.303,67,0.448
30,10,0.35,0.116,-0.303,67,0.493
75,14,0.45,0.116,-0.444,34,0.647
25,3,0.25,0.116,-0.397,80,0.475
60,3,0.1,0.116,-0.373,65,0.538
25,5,0.25,0.115,-0.399,81,0.481
75,14,0.4,0.115,-0.444,36,0.639
30,5,0.35,0.115,-0.303,67,0.448
35,14,0.2,0.115,-0.325,67,0.478
40,20,0.05,0.115,-0.294,94,0.553
75,20,0.35,0.115,-0.444,36,0.639
30,7,0.5,0.114,-0.326,55,0.564
30,3,0.5,0.114,-0.335,49,0.531
75,14,0.25,0.114,-0.437,38,0.632
30,14,0.4,0.113,-0.353,59,0.525
60,20,0.1,0.113,-0.373,63,0.556
35,3,0.2,0.113,-0.325,71,0.479
35,20,0.05,0.113,-0.297,85,0.506
35,20,0.15,0.113,-0.324,75,0.52
35,14,0.45,0.113,-0.321,54,0.611
75,20,0.45,0.113,-0.444,32,0.656
40,20,0.5,0.113,-0.304,42,0.476
75,20,0.5,0.113,-0.444,32,0.656
50,20,0.5,0.113,-0.394,35,0.543
35,5,0.15,0.112,-0.354,71,0.507
25,3,0.2,0.112,-0.373,87,0.483
30,14,0.45,0.112,-0.354,55,0.545
25,14,0.15,0.112,-0.4,98,0.51
25,14,0.1,0.112,-0.407,105,0.495
30,14,0.5,0.112,-0.354,55,0.545
60,14,0.1,0.112,-0.373,63,0.556
75,5,0.5,0.112,-0.425,32,0.625
75,20,0.4,0.112,-0.444,36,0.611
40,20,0.15,0.112,-0.315,78,0.513
50,14,0.5,0.112,-0.396,37,0.514
75,7,0.05,0.112,-0.405,52,0.577
35,14,0.25,0.112,-0.33,65,0.492
35,10,0.2,0.112,-0.318,69,0.493
75,7,0.3,0.111,-0.378,40,0.65
35,20,0.2,0.111,-0.324,67,0.478
40,5,0.05,0.111,-0.311,92,0.533
30,5,0.15,0.111,-0.459,93,0.484
25,10,0.15,0.111,-0.405,97,0.495
35,3,0.3,0.111,-0.335,64,0.484
35,10,0.35,0.111,-0.321,58,0.552
75,5,0.45,0.111,-0.425,32,0.625
25,5,0.2,0.11,-0.373,85,0.459
60,10,0.1,0.11,-0.373,63,0.556
35,3,0.05,0.11,-0.302,87,0.506
35,7,0.2,0.11,-0.354,69,0.493
25,10,0.1,0.11,-0.437,105,0.486
75,14,0.35,0.11,-0.444,36,0.611
75,7,0.25,0.11,-0.401,40,0.675
35,14,0.05,0.11,-0.302,85,0.506
40,5,0.1,0.11,-0.296,88,0.523
75,7,0.15,0.109,-0.405,48,0.604
15,3,0.1,0.109,-0.431,144,0.542
40,3,0.45,0.109,-0.304,56,0.393
5,10,0.3,0.109,-0.32,225,0.516
35,20,0.1,0.109,-0.322,81,0.494
30,10,0.4,0.109,-0.349,63,0.508
60,7,0.1,0.109,-0.373,65,0.538
35,5,0.3,0.108,-0.354,66,0.5
60,20,0.05,0.108,-0.373,67,0.522
40,10,0.05,0.108,-0.288,92,0.533
50,14,0.45,0.108,-0.367,45,0.489
40,7,0.5,0.108,-0.326,46,0.457
40,14,0.15,0.108,-0.317,76,0.5
25,3,0.35,0.108,-0.46,73,0.507
5,3,0.35,0.108,-0.218,231,0.519
35,3,0.1,0.108,-0.317,81,0.506
75,7,0.35,0.107,-0.378,38,0.632
35,3,0.25,0.107,-0.326,72,0.486
35,14,0.1,0.107,-0.317,79,0.506
35,5,0.25,0.107,-0.354,70,0.486
5,10,0.25,0.107,-0.293,239,0.531
75,10,0.05,0.107,-0.344,54,0.537
30,5,0.5,0.107,-0.328,55,0.491
40,5,0.4,0.107,-0.304,56,0.429
25,10,0.3,0.106,-0.46,73,0.493
60,3,0.05,0.106,-0.373,69,0.507
40,10,0.1,0.106,-0.288,90,0.522
35,7,0.25,0.106,-0.354,70,0.5
30,10,0.5,0.106,-0.325,53,0.547
60,7,0.5,0.105,-0.329,32,0.594
30,3,0.2,0.105,-0.46,81,0.481
30,20,0.05,0.105,-0.458,119,0.471
40,14,0.5,0.105,-0.326,46,0.478
40,5,0.45,0.105,-0.304,56,0.446
25,7,0.1,0.104,-0.437,105,0.486
60,3,0.25,0.104,-0.349,45,0.556
35,14,0.15,0.104,-0.326,73,0.507
35,10,0.05,0.103,-0.288,85,0.506
35,10,0.1,0.103,-0.296,81,0.506
35,10,0.15,0.103,-0.318,75,0.52
60,14,0.05,0.103,-0.373,69,0.536
40,7,0.05,0.103,-0.311,92,0.522
40,5,0.5,0.103,-0.304,51,0.451
40,20,0.45,0.103,-0.304,50,0.48
40,3,0.35,0.103,-0.304,60,0.45
40,3,0.4,0.103,-0.304,58,0.414
40,5,0.2,0.103,-0.319,74,0.5
35,10,0.25,0.103,-0.322,68,0.485
60,5,0.15,0.102,-0.373,57,0.509
40,7,0.1,0.102,-0.296,90,0.511
75,20,0.25,0.102,-0.457,42,0.595
25,14,0.3,0.102,-0.479,73,0.507
60,3,0.45,0.102,-0.329,34,0.588
75,10,0.15,0.102,-0.344,50,0.56
75,14,0.5,0.102,-0.439,32,0.562
40,14,0.45,0.101,-0.327,50,0.5
40,7,0.45,0.101,-0.327,48,0.438
35,5,0.1,0.101,-0.346,79,0.506
35,7,0.15,0.101,-0.354,75,0.507
60,10,0.05,0.101,-0.373,69,0.536
30,10,0.45,0.101,-0.349,55,0.527
35,20,0.35,0.101,-0.329,60,0.533
35,20,0.25,0.101,-0.33,66,0.485
60,7,0.05,0.101,-0.373,69,0.522
60,5,0.5,0.101,-0.329,32,0.594
30,5,0.05,0.101,-0.454,117,0.47
30,7,0.2,0.101,-0.476,83,0.482
30,5,0.45,0.101,-0.353,61,0.475
10,7,0.15,0.1,-0.231,173,0.468
30,7,0.45,0.1,-0.36,59,0.525
25,14,0.45,0.1,-0.467,65,0.538
25,14,0.05,0.099,-0.421,113,0.496
25,10,0.5,0.099,-0.452,63,0.54
35,10,0.3,0.099,-0.321,62,0.484
60,3,0.4,0.099,-0.333,36,0.583
35,14,0.3,0.099,-0.329,62,0.5
30,20,0.15,0.099,-0.475,93,0.462
25,5,0.15,0.099,-0.394,93,0.473
35,5,0.35,0.099,-0.357,60,0.483
60,7,0.35,0.099,-0.349,41,0.561
60,7,0.4,0.099,-0.349,39,0.59
5,20,0.2,0.099,-0.368,253,0.51
40,10,0.45,0.099,-0.326,48,0.458
60,10,0.4,0.099,-0.349,37,0.568
25,10,0.4,0.098,-0.46,67,0.537
10,5,0.05,0.098,-0.209,209,0.483
15,3,0.05,0.098,-0.477,154,0.506
60,10,0.35,0.098,-0.349,39,0.564
25,10,0.45,0.098,-0.468,67,0.552
60,10,0.45,0.098,-0.329,36,0.583
30,3,0.05,0.098,-0.459,119,0.462
35,20,0.3,0.098,-0.329,62,0.516
35,7,0.35,0.097,-0.364,60,0.483
35,5,0.05,0.097,-0.331,87,0.494
60,7,0.25,0.097,-0.349,47,0.574
60,10,0.5,0.097,-0.329,34,0.588
75,7,0.1,0.097,-0.405,52,0.577
75,7,0.4,0.097,-0.378,36,0.583
75,7,0.2,0.097,-0.401,42,0.595
30,20,0.1,0.097,-0.478,111,0.495
75,10,0.1,0.096,-0.344,52,0.558
5,7,0.3,0.096,-0.331,224,0.518
25,10,0.35,0.096,-0.46,71,0.507
40,10,0.15,0.096,-0.309,78,0.487
5,14,0.2,0.096,-0.385,257,0.506
60,3,0.35,0.096,-0.349,41,0.561
60,7,0.45,0.096,-0.333,36,0.556
35,14,0.35,0.096,-0.329,62,0.516
35,7,0.3,0.096,-0.364,62,0.484
60,5,0.45,0.096,-0.333,34,0.559
40,7,0.15,0.096,-0.317,80,0.5
60,3,0.3,0.095,-0.349,45,0.533
25,10,0.05,0.095,-0.45,113,0.487
10,5,0.15,0.095,-0.245,177,0.469
60,5,0.1,0.095,-0.373,63,0.492
40,10,0.5,0.094,-0.327,44,0.455
35,7,0.1,0.094,-0.346,81,0.506
25,14,0.5,0.094,-0.485,63,0.556
25,7,0.3,0.094,-0.46,75,0.493
75,7,0.45,0.094,-0.383,34,0.588
10,3,0.15,0.094,-0.269,177,0.48
25,3,0.5,0.094,-0.472,63,0.54
25,3,0.45,0.093,-0.472,65,0.523
60,7,0.3,0.093,-0.349,45,0.533
25,7,0.05,0.093,-0.45,111,0.486
25,3,0.1,0.093,-0.421,103,0.466
40,20,0.2,0.092,-0.315,74,0.473
25,14,0.4,0.092,-0.493,69,0.536
25,7,0.45,0.092,-0.464,63,0.556
25,5,0.3,0.092,-0.46,77,0.494
40,14,0.2,0.092,-0.317,74,0.473
75,3,0.5,0.092,-0.418,28,0.607
30,7,0.15,0.091,-0.476,89,0.472
25,3,0.4,0.091,-0.472,69,0.507
