bin_size_pct,max_drop_pct,initial_alloc_pct,exit_sma_window,cagr,total_return,max_drawdown,win_rate,n_trades,avg_trade_return
0.07,0.2,0.2,75,0.075,0.924,-0.263,1.0,21,0.105
0.07,0.15,0.2,75,0.075,0.924,-0.263,1.0,21,0.105
0.15,0.3,0.5,60,0.074,0.917,-0.155,1.0,6,0.348
0.15,0.2,0.4,30,0.073,0.895,-0.263,1.0,4,0.174
0.15,0.2,0.3,30,0.073,0.895,-0.263,1.0,4,0.174
0.15,0.2,0.5,30,0.073,0.895,-0.263,1.0,4,0.174
0.15,0.2,0.1,30,0.073,0.895,-0.263,1.0,4,0.174
0.15,0.2,0.2,30,0.073,0.895,-0.263,1.0,4,0.174
0.15,0.3,0.4,50,0.072,0.874,-0.13,1.0,6,0.353
0.15,0.3,0.4,60,0.07,0.854,-0.13,1.0,6,0.348
0.15,0.2,0.1,75,0.069,0.831,-0.288,1.0,4,0.164
0.15,0.2,0.5,75,0.069,0.831,-0.288,1.0,4,0.164
0.15,0.2,0.4,75,0.069,0.831,-0.288,1.0,4,0.164
0.07,0.15,0.1,75,0.069,0.839,-0.27,1.0,21,0.105
0.07,0.2,0.1,75,0.069,0.839,-0.27,1.0,21,0.105
0.15,0.2,0.2,75,0.069,0.831,-0.288,1.0,4,0.164
0.15,0.2,0.3,75,0.069,0.831,-0.288,1.0,4,0.164
0.12,0.15,0.1,75,0.068,0.823,-0.288,1.0,5,0.129
0.12,0.15,0.3,75,0.068,0.823,-0.288,1.0,5,0.129
0.12,0.2,0.4,75,0.068,0.823,-0.288,1.0,5,0.129
0.12,0.2,0.3,75,0.068,0.823,-0.288,1.0,5,0.129
0.12,0.2,0.5,75,0.068,0.823,-0.288,1.0,5,0.129
0.12,0.15,0.2,75,0.068,0.823,-0.288,1.0,5,0.129
0.12,0.2,0.2,75,0.068,0.823,-0.288,1.0,5,0.129
0.12,0.2,0.1,75,0.068,0.823,-0.288,1.0,5,0.129
0.12,0.15,0.4,75,0.068,0.823,-0.288,1.0,5,0.129
0.12,0.15,0.5,75,0.068,0.823,-0.288,1.0,5,0.129
0.15,0.3,0.3,50,0.067,0.805,-0.104,1.0,6,0.353
0.15,0.3,0.3,60,0.066,0.79,-0.104,1.0,6,0.348
0.15,0.3,0.2,50,0.063,0.736,-0.077,1.0,6,0.353
0.15,0.3,0.2,60,0.062,0.727,-0.077,1.0,6,0.348
0.15,0.3,0.5,30,0.059,0.681,-0.146,1.0,6,0.265
0.15,0.3,0.1,50,0.058,0.667,-0.072,1.0,6,0.353
0.15,0.3,0.1,60,0.058,0.663,-0.072,1.0,6,0.348
0.15,0.3,0.4,30,0.056,0.635,-0.121,1.0,6,0.265
0.15,0.3,0.5,75,0.053,0.597,-0.165,1.0,6,0.226
0.15,0.3,0.3,30,0.052,0.589,-0.097,1.0,6,0.265
0.15,0.3,0.4,75,0.049,0.548,-0.139,1.0,6,0.226
0.15,0.3,0.2,30,0.049,0.542,-0.072,1.0,6,0.265
0.15,0.3,0.3,75,0.046,0.499,-0.111,1.0,6,0.226
0.15,0.3,0.1,30,0.045,0.494,-0.072,1.0,6,0.265
0.15,0.3,0.2,75,0.042,0.449,-0.082,1.0,6,0.226
0.15,0.3,0.1,75,0.038,0.399,-0.061,1.0,6,0.226
