bin_size_pct,max_drop_pct,initial_alloc_pct,exit_sma_window,cagr,total_return,max_drawdown,win_rate,n_trades,avg_trade_return
0.05,0.1,0.2,60,0.155,1.056,-0.296,0.769,13,0.127
0.1,0.2,0.1,50,0.155,1.054,-0.295,1.0,8,0.349
0.05,0.15,0.5,50,0.152,1.027,-0.313,0.923,13,0.146
0.05,0.1,0.5,50,0.152,1.027,-0.313,0.923,13,0.146
0.1,0.3,0.1,60,0.148,0.992,-0.295,1.0,6,0.3
0.1,0.2,0.1,60,0.148,0.992,-0.295,1.0,8,0.326
0.1,0.2,0.2,60,0.147,0.988,-0.294,1.0,6,0.3
0.1,0.2,0.4,60,0.147,0.98,-0.293,1.0,6,0.3
0.07,0.1,0.4,50,0.147,0.986,-0.33,1.0,6,0.123
0.07,0.1,0.1,50,0.147,0.986,-0.33,1.0,6,0.123
0.1,0.3,0.2,60,0.147,0.988,-0.294,1.0,6,0.3
0.1,0.2,0.3,60,0.147,0.984,-0.293,1.0,6,0.3
0.05,0.15,0.3,60,0.147,0.986,-0.301,0.769,13,0.127
0.07,0.1,0.2,50,0.147,0.986,-0.33,1.0,6,0.123
0.07,0.1,0.5,50,0.147,0.986,-0.33,1.0,6,0.123
0.05,0.1,0.3,60,0.147,0.986,-0.301,0.769,13,0.127
0.07,0.1,0.3,50,0.147,0.986,-0.33,1.0,6,0.123
0.1,0.3,0.3,60,0.147,0.984,-0.293,1.0,6,0.3
0.1,0.3,0.4,60,0.147,0.98,-0.293,1.0,6,0.3
0.1,0.3,0.5,60,0.146,0.976,-0.292,1.0,6,0.3
0.1,0.2,0.5,60,0.146,0.976,-0.292,1.0,6,0.3
0.1,0.15,0.5,60,0.144,0.959,-0.296,1.0,3,0.198
0.1,0.15,0.3,60,0.144,0.959,-0.296,1.0,3,0.198
0.1,0.15,0.4,60,0.144,0.959,-0.296,1.0,3,0.198
0.1,0.15,0.1,60,0.144,0.959,-0.296,1.0,3,0.198
0.1,0.15,0.2,60,0.144,0.959,-0.296,1.0,3,0.198
0.1,0.3,0.1,75,0.141,0.929,-0.295,1.0,6,0.28
0.1,0.2,0.1,75,0.141,0.929,-0.295,1.0,6,0.28
0.1,0.2,0.2,75,0.14,0.921,-0.294,1.0,6,0.28
0.1,0.3,0.2,75,0.14,0.921,-0.294,1.0,6,0.28
0.05,0.1,0.4,60,0.139,0.918,-0.311,0.769,13,0.127
0.05,0.15,0.4,60,0.139,0.918,-0.311,0.769,13,0.127
0.1,0.3,0.3,75,0.139,0.914,-0.293,1.0,6,0.28
0.1,0.2,0.3,75,0.139,0.914,-0.293,1.0,6,0.28
0.12,0.15,0.3,50,0.138,0.908,-0.296,1.0,3,0.242
0.1,0.3,0.4,75,0.138,0.906,-0.293,1.0,6,0.28
0.1,0.2,0.4,75,0.138,0.906,-0.293,1.0,6,0.28
0.12,0.15,0.1,50,0.138,0.908,-0.296,1.0,3,0.242
0.12,0.2,0.3,50,0.138,0.908,-0.296,1.0,3,0.242
0.12,0.2,0.4,50,0.138,0.908,-0.296,1.0,3,0.242
0.12,0.2,0.2,50,0.138,0.908,-0.296,1.0,3,0.242
0.12,0.15,0.4,50,0.138,0.908,-0.296,1.0,3,0.242
0.12,0.2,0.5,50,0.138,0.908,-0.296,1.0,3,0.242
0.12,0.2,0.1,50,0.138,0.908,-0.296,1.0,3,0.242
0.12,0.15,0.5,50,0.138,0.908,-0.296,1.0,3,0.242
0.12,0.15,0.2,50,0.138,0.908,-0.296,1.0,3,0.242
0.1,0.3,0.5,75,0.137,0.899,-0.292,1.0,6,0.28
0.1,0.2,0.5,75,0.137,0.899,-0.292,1.0,6,0.28
0.07,0.3,0.5,50,0.136,0.888,-0.296,1.0,13,0.244
0.05,0.2,0.1,50,0.135,0.884,-0.296,0.889,18,0.182
0.07,0.3,0.4,50,0.134,0.87,-0.296,1.0,13,0.244
0.05,0.15,0.1,75,0.133,0.869,-0.296,0.769,13,0.101
0.05,0.2,0.2,50,0.133,0.862,-0.296,0.889,18,0.182
0.05,0.3,0.1,50,0.133,0.866,-0.296,0.9,20,0.197
0.1,0.15,0.5,75,0.133,0.865,-0.296,1.0,3,0.179
0.1,0.15,0.1,75,0.133,0.865,-0.296,1.0,3,0.179
0.1,0.15,0.4,75,0.133,0.865,-0.296,1.0,3,0.179
0.1,0.15,0.3,75,0.133,0.865,-0.296,1.0,3,0.179
0.1,0.15,0.2,75,0.133,0.865,-0.296,1.0,3,0.179
0.07,0.15,0.5,50,0.133,0.865,-0.296,1.0,10,0.201
0.07,0.2,0.5,50,0.133,0.865,-0.296,1.0,11,0.21
0.05,0.1,0.1,75,0.133,0.869,-0.296,0.769,13,0.101
0.05,0.3,0.2,50,0.131,0.847,-0.296,0.905,21,0.202
0.07,0.3,0.3,50,0.131,0.853,-0.296,1.0,13,0.244
0.05,0.15,0.5,60,0.131,0.853,-0.319,0.769,13,0.127
0.05,0.1,0.5,60,0.131,0.853,-0.319,0.769,13,0.127
0.07,0.2,0.4,50,0.13,0.839,-0.296,1.0,10,0.201
0.07,0.15,0.4,50,0.13,0.839,-0.296,1.0,10,0.201
0.05,0.2,0.3,50,0.13,0.84,-0.296,0.9,20,0.2
0.07,0.3,0.2,50,0.129,0.835,-0.296,1.0,13,0.244
0.05,0.3,0.3,50,0.128,0.826,-0.296,0.9,20,0.197
0.05,0.2,0.4,50,0.127,0.818,-0.297,0.889,18,0.182
0.07,0.3,0.1,50,0.127,0.818,-0.296,1.0,13,0.244
0.07,0.15,0.3,50,0.126,0.812,-0.296,1.0,10,0.201
0.05,0.3,0.4,50,0.126,0.806,-0.298,0.9,20,0.197
0.07,0.2,0.3,50,0.126,0.812,-0.296,1.0,10,0.201
0.05,0.1,0.2,75,0.125,0.799,-0.296,0.769,13,0.101
0.05,0.15,0.2,75,0.125,0.799,-0.296,0.786,14,0.108
0.05,0.2,0.5,50,0.124,0.796,-0.306,0.9,20,0.2
0.05,0.3,0.5,50,0.123,0.786,-0.307,0.9,20,0.197
0.07,0.2,0.2,50,0.123,0.785,-0.296,1.0,10,0.201
0.07,0.15,0.2,50,0.123,0.785,-0.296,1.0,10,0.201
0.07,0.1,0.5,60,0.123,0.783,-0.336,1.0,6,0.103
0.07,0.1,0.4,60,0.123,0.783,-0.336,1.0,6,0.103
0.07,0.1,0.3,60,0.123,0.783,-0.336,1.0,6,0.103
0.07,0.1,0.2,60,0.123,0.783,-0.336,1.0,6,0.103
0.07,0.1,0.1,60,0.123,0.783,-0.336,1.0,6,0.103
0.05,0.2,0.1,60,0.123,0.787,-0.296,0.824,17,0.175
0.15,0.2,0.3,50,0.122,0.78,-0.296,1.0,2,0.335
0.15,0.2,0.1,50,0.122,0.78,-0.296,1.0,2,0.335
0.05,0.3,0.1,60,0.122,0.781,-0.296,0.842,19,0.19
0.15,0.2,0.2,50,0.122,0.78,-0.296,1.0,2,0.335
0.15,0.2,0.5,50,0.122,0.78,-0.296,1.0,2,0.335
0.15,0.2,0.4,50,0.122,0.78,-0.296,1.0,2,0.335
0.07,0.3,0.5,60,0.121,0.768,-0.296,1.0,13,0.227
0.07,0.3,0.4,60,0.121,0.766,-0.296,1.0,13,0.227
0.05,0.2,0.2,60,0.12,0.76,-0.296,0.833,18,0.185
0.07,0.3,0.2,60,0.12,0.763,-0.296,1.0,13,0.227
0.07,0.2,0.1,50,0.12,0.758,-0.296,1.0,10,0.201
0.07,0.15,0.1,50,0.12,0.758,-0.296,1.0,10,0.201
0.07,0.3,0.3,60,0.12,0.764,-0.296,1.0,13,0.227
0.07,0.3,0.1,60,0.12,0.762,-0.296,1.0,13,0.227
0.05,0.3,0.2,60,0.119,0.754,-0.296,0.842,19,0.19
0.07,0.2,0.5,60,0.118,0.745,-0.299,1.0,11,0.193
0.07,0.15,0.5,60,0.118,0.745,-0.299,1.0,10,0.183
0.07,0.2,0.4,60,0.117,0.736,-0.296,1.0,10,0.183
0.07,0.15,0.4,60,0.117,0.736,-0.296,1.0,10,0.183
0.15,0.2,0.2,60,0.117,0.741,-0.296,1.0,2,0.32
0.15,0.2,0.1,60,0.117,0.741,-0.296,1.0,2,0.32
0.15,0.2,0.5,60,0.117,0.741,-0.296,1.0,2,0.32
0.15,0.2,0.4,60,0.117,0.741,-0.296,1.0,2,0.32
0.15,0.2,0.3,60,0.117,0.741,-0.296,1.0,2,0.32
0.12,0.2,0.4,60,0.116,0.729,-0.296,1.0,3,0.204
0.12,0.2,0.2,60,0.116,0.729,-0.296,1.0,3,0.204
0.05,0.15,0.3,75,0.116,0.73,-0.296,0.769,13,0.101
0.12,0.15,0.4,60,0.116,0.729,-0.296,1.0,3,0.204
0.12,0.15,0.5,60,0.116,0.729,-0.296,1.0,3,0.204
0.12,0.15,0.2,60,0.116,0.729,-0.296,1.0,3,0.204
0.12,0.2,0.3,60,0.116,0.729,-0.296,1.0,3,0.204
