entry_date,entry_price,exit_date,exit_price,shares,pnl,held_days
2025-11-24,518.2,2026-03-09,513.1,55.44904457803359,-282.7901273479729,67
2026-03-09,513.1,2026-03-11,526.1,27.724522289016797,360.4187897572192,2
2026-03-11,526.1,2026-03-13,521.2,54.763967996096284,-268.34344318087096,2
2026-03-13,521.2,2026-03-17,522.4,27.381983998048142,32.85838079765563,2
2026-03-17,522.4,2026-03-19,519.9,54.70106910482971,-136.7526727620716,2
2026-03-19,519.9,2026-03-20,514.7,27.350534552414857,-142.2227796725565,1
2026-03-20,514.7,2026-03-23,501.4,54.97739080615584,-731.1992977218761,1
2026-03-23,501.4,2026-04-02,501.7,27.48869540307792,8.246608620924235,8
2026-04-02,501.7,2026-04-08,522.2,54.96095347583707,1126.699546254662,2
2026-04-08,522.2,2026-04-09,520.9,27.480476737918536,-35.72461975929582,1
